ID, Date, Time, X Acceleration, Y Acceleration, Z Acceleration, Temperature 
0, 16/1/2020, 14:47:34, 0.1, 1.28, 9.77, 22.37 
0, 16/1/2020, 14:47:35, 0.11, 1.26, 9.77, 22.49 
0, 16/1/2020, 14:47:36, 0.09, 1.29, 9.8, 22.61 
0, 16/1/2020, 14:47:37, 0.14, 1.3, 9.77, 22.42 
0, 16/1/2020, 14:47:38, 0.09, 1.26, 9.8, 22.37 
0, 16/1/2020, 14:47:39, 0.11, 1.25, 9.76, 22.49 
0, 16/1/2020, 14:47:40, 0.11, 1.3, 9.8, 22.47 
0, 16/1/2020, 14:47:41, 0.11, 1.27, 9.79, 22.56 
0, 16/1/2020, 14:47:42, 0.11, 1.3, 9.79, 22.37 
0, 16/1/2020, 14:47:43, 0.11, 1.27, 9.81, 22.3 
0, 16/1/2020, 14:47:44, 0.09, 1.3, 9.76, 22.37 
0, 16/1/2020, 14:47:45, 0.13, 1.25, 9.75, 22.44 
0, 16/1/2020, 14:47:46, 0.11, 1.26, 9.8, 22.49 
0, 16/1/2020, 14:47:47, 0.11, 1.24, 9.73, 22.52 
0, 16/1/2020, 14:47:48, 0.09, 1.31, 9.77, 22.49 
0, 16/1/2020, 14:47:49, 0.08, 1.25, 9.84, 22.52 
0, 16/1/2020, 14:47:50, 0.07, 1.29, 9.81, 22.44 
0, 16/1/2020, 14:47:51, 0.07, 1.25, 9.81, 22.54 
0, 16/1/2020, 14:47:52, 0.07, 1.27, 9.77, 22.54 
0, 16/1/2020, 14:47:53, 0.05, 1.27, 9.77, 22.52 
0, 16/1/2020, 14:47:54, 0.11, 1.27, 9.76, 22.49 
0, 16/1/2020, 14:47:55, 0.1, 1.3, 9.81, 22.52 
0, 16/1/2020, 14:47:56, 0.14, 1.26, 9.82, 22.52 
0, 16/1/2020, 14:47:57, 0.09, 1.25, 9.76, 22.44 
0, 16/1/2020, 14:47:58, 0.11, 1.25, 9.75, 22.49 
0, 16/1/2020, 14:47:59, 0.11, 1.27, 9.82, 22.47 
0, 16/1/2020, 14:48:1, 0.1, 1.25, 9.79, 22.47 
0, 16/1/2020, 14:48:2, 0.08, 1.32, 9.95, 22.52 
0, 16/1/2020, 14:48:3, 0.08, 1.28, 9.76, 22.37 
0, 16/1/2020, 14:48:4, 0.08, 1.29, 9.79, 22.44 
0, 16/1/2020, 14:48:5, 0.1, 1.29, 9.79, 22.47 
0, 16/1/2020, 14:48:6, 0.11, 1.26, 9.76, 22.39 
0, 16/1/2020, 14:48:7, 0.11, 1.29, 9.76, 22.47 
0, 16/1/2020, 14:48:8, 0.13, 1.29, 9.79, 22.47 
0, 16/1/2020, 14:48:9, 0.08, 1.32, 9.78, 22.42 
0, 16/1/2020, 14:48:10, 0.1, 1.28, 9.82, 22.37 
0, 16/1/2020, 14:48:11, 0.09, 1.3, 9.86, 22.39 
0, 16/1/2020, 14:48:12, 0.1, 1.25, 9.8, 22.49 
0, 16/1/2020, 14:48:13, 0.1, 1.3, 9.76, 22.52 
0, 16/1/2020, 14:48:14, 0.1, 1.29, 9.79, 22.49 
0, 16/1/2020, 14:48:15, 0.09, 1.25, 9.8, 22.52 
0, 16/1/2020, 14:48:16, 0.08, 1.25, 9.8, 22.49 
0, 16/1/2020, 14:48:17, 0.09, 1.3, 9.76, 22.52 
0, 16/1/2020, 14:48:18, 0.11, 1.26, 9.76, 22.37 
0, 16/1/2020, 14:48:19, 0.07, 1.25, 9.7, 22.34 
0, 16/1/2020, 14:48:20, 0.09, 1.26, 9.85, 22.42 
0, 16/1/2020, 14:48:21, 0.09, 1.29, 9.81, 22.49 
0, 16/1/2020, 14:48:22, 0.07, 1.34, 9.8, 22.49 
0, 16/1/2020, 14:48:23, 0.07, 1.28, 9.79, 22.49 
0, 16/1/2020, 14:48:24, 0.1, 1.25, 9.76, 22.37 
0, 16/1/2020, 14:48:25, 0.1, 1.27, 9.81, 22.44 
0, 16/1/2020, 14:48:26, 0.07, 1.3, 9.78, 22.44 
0, 16/1/2020, 14:48:27, 0.1, 1.31, 9.78, 22.52 
0, 16/1/2020, 14:48:28, 0.1, 1.32, 9.8, 22.54 
0, 16/1/2020, 14:48:29, 0.08, 1.44, 9.74, 22.49 
0, 16/1/2020, 14:48:30, 0.09, 1.31, 9.77, 22.34 
